Data Point,Voltage,SOC
1,4.059,99.99818311
2,4.059,99.99636621
3,4.059,99.99454932
4,4.059,99.99273243
5,4.058,99.99091553
6,4.058,99.98909864
7,4.058,99.98728175
8,4.058,99.98546485
9,4.058,99.98364796
10,4.058,99.98183107
11,4.058,99.98001417
12,4.058,99.97819728
13,4.058,99.97638038
14,4.058,99.97456349
15,4.058,99.9727466
16,4.058,99.9709297
17,4.058,99.96911281
18,4.058,99.96729592
19,4.058,99.96547902
20,4.058,99.96366213
21,4.058,99.96184524
22,4.058,99.96002834
23,4.058,99.95821145
24,4.058,99.95639456
25,4.057,99.95457766
26,4.057,99.95276077
27,4.058,99.95094388
28,4.056,99.94912698
29,4.057,99.94731009
30,4.057,99.9454932
31,4.057,99.9436763
32,4.057,99.94185941
33,4.057,99.94004252
34,4.057,99.93822562
35,4.057,99.93640873
36,4.057,99.93459183
37,4.057,99.93277494
38,4.057,99.93095805
39,4.057,99.92914115
40,4.057,99.92732426
41,4.057,99.92550737
42,4.056,99.92369047
43,4.056,99.92187358
44,4.056,99.92005669
45,4.056,99.91823979
46,4.056,99.9164229
47,4.056,99.91460601
48,4.056,99.91278911
49,4.056,99.91097222
50,4.056,99.90915533
51,4.056,99.90733843
52,4.056,99.90552154
53,4.056,99.90370465
54,4.056,99.90188775
55,4.056,99.90007086
56,4.056,99.89825397
57,4.055,99.89643707
58,4.055,99.89462018
59,4.055,99.89280328
60,4.055,99.89098639
61,4.055,99.8891695
62,4.055,99.8873526
63,4.055,99.88553571
64,4.055,99.88371882
65,4.055,99.88190192
66,4.055,99.88008503
67,4.055,99.87826814
68,4.055,99.87645124
69,4.055,99.87463435
70,4.055,99.87281746
71,4.055,99.87100056
72,4.055,99.86918367
73,4.055,99.86736678
74,4.055,99.86554988
75,4.055,99.86373299
76,4.055,99.8619161
77,4.055,99.8600992
78,4.055,99.85828231
79,4.055,99.85646542
80,4.055,99.85464852
81,4.054,99.85283163
82,4.055,99.85101474
83,4.054,99.84919784
84,4.054,99.84738095
85,4.054,99.84556405
86,4.054,99.84374716
87,4.054,99.84193027
88,4.054,99.84011337
89,4.054,99.83829648
90,4.054,99.83647959
91,4.054,99.83466269
92,4.054,99.8328458
93,4.054,99.83102891
94,4.054,99.82921201
95,4.054,99.82739512
96,4.054,99.82557823
97,4.054,99.82376133
98,4.054,99.82194444
99,4.054,99.82012755
100,4.054,99.81831065
101,4.054,99.81649376
102,4.054,99.81467687
103,4.054,99.81285997
104,4.054,99.81104308
105,4.054,99.80922619
106,4.054,99.80740929
107,4.054,99.8055924
108,4.054,99.8037755
109,4.054,99.80195861
110,4.054,99.80014172
111,4.054,99.79832482
112,4.054,99.79650793
113,4.054,99.79469104
114,4.054,99.79287414
115,4.054,99.79105725
116,4.054,99.78924036
117,4.054,99.78742346
118,4.054,99.78560657
119,4.054,99.78378968
120,4.054,99.78197278
121,4.054,99.78015589
122,4.054,99.778339
123,4.054,99.7765221
124,4.054,99.77470521
125,4.054,99.77288832
126,4.054,99.77107142
127,4.054,99.76925453
128,4.054,99.76743764
129,4.054,99.76562074
130,4.054,99.76380385
131,4.054,99.76198695
132,4.054,99.76017006
133,4.054,99.75835317
134,4.054,99.75653627
135,4.054,99.75471938
136,4.054,99.75290249
137,4.054,99.75108559
138,4.054,99.7492687
139,4.054,99.74745181
140,4.054,99.74563491
141,4.054,99.74381802
142,4.054,99.74200113
143,4.054,99.74018423
144,4.054,99.73836734
145,4.054,99.73655045
146,4.054,99.73473355
147,4.054,99.73291666
148,4.054,99.73109977
149,4.054,99.72928287
150,4.054,99.72746598
151,4.054,99.72564909
152,4.054,99.72383219
153,4.054,99.7220153
154,4.054,99.7201984
155,4.054,99.71838151
156,4.054,99.71656462
157,4.054,99.71474772
158,4.054,99.71293083
159,4.054,99.71111394
160,4.054,99.70929704
161,4.054,99.70748015
162,4.054,99.70566326
163,4.054,99.70384636
164,4.054,99.70202947
165,4.054,99.70021258
166,4.054,99.69839568
167,4.054,99.69657879
168,4.054,99.6947619
169,4.054,99.692945
170,4.054,99.69112811
171,4.054,99.68931122
172,4.054,99.68749432
173,4.054,99.68567743
174,4.054,99.68386054
175,4.054,99.68204364
176,4.054,99.68022675
177,4.054,99.67840985
178,4.054,99.67659296
179,4.054,99.67477607
180,4.054,99.67295917
181,4.054,99.67114228
182,4.054,99.66932539
183,4.054,99.66750849
184,4.054,99.6656916
185,4.054,99.66387471
186,4.054,99.66205781
187,4.054,99.66024092
188,4.054,99.65842403
189,4.054,99.65660713
190,4.054,99.65479024
191,4.054,99.65297335
192,4.054,99.65115645
193,4.054,99.64933956
194,4.054,99.64752267
195,4.054,99.64570577
196,4.054,99.64388888
197,4.054,99.64207199
198,4.054,99.64025509
199,4.054,99.6384382
200,4.054,99.6366213
201,4.054,99.63480441
202,4.054,99.63298752
203,4.054,99.63117062
204,4.054,99.62935373
205,4.054,99.62753684
206,4.054,99.62571994
207,4.053,99.62390305
208,4.054,99.62208616
209,4.053,99.62026926
210,4.053,99.61845237
211,4.053,99.61663548
212,4.053,99.61481858
213,4.053,99.61300169
214,4.053,99.6111848
215,4.053,99.6093679
216,4.053,99.60755101
217,4.053,99.60573412
218,4.053,99.60391722
219,4.053,99.60210033
220,4.053,99.60028344
221,4.053,99.59846654
222,4.053,99.59664965
223,4.053,99.59483275
224,4.053,99.59301586
225,4.053,99.59119897
226,4.053,99.58938207
227,4.053,99.58756518
228,4.053,99.58574829
229,4.053,99.58393139
230,4.053,99.5821145
231,4.053,99.58029761
232,4.053,99.57848071
233,4.053,99.57666382
234,4.053,99.57484693
235,4.053,99.57303003
236,4.053,99.57121314
237,4.053,99.56939625
238,4.053,99.56757935
239,4.053,99.56576246
240,4.053,99.56394557
241,4.053,99.56212867
242,4.053,99.56031178
243,4.053,99.55849489
244,4.053,99.55667799
245,4.053,99.5548611
246,4.053,99.55304421
247,4.053,99.55122731
248,4.053,99.54941042
249,4.053,99.54759352
250,4.053,99.54577663
251,4.053,99.54395974
252,4.053,99.54214284
253,4.053,99.54032595
254,4.053,99.53850906
255,4.053,99.53669216
256,4.053,99.53487527
257,4.053,99.53305838
258,4.053,99.53124148
259,4.053,99.52942459
260,4.053,99.5276077
261,4.053,99.5257908
262,4.053,99.52397391
263,4.053,99.52215702
264,4.053,99.52034012
265,4.053,99.51852323
266,4.053,99.51670634
267,4.053,99.51488944
268,4.053,99.51307255
269,4.053,99.51125566
270,4.053,99.50943876
271,4.053,99.50762187
272,4.053,99.50580497
273,4.053,99.50398808
274,4.053,99.50217119
275,4.053,99.50035429
276,4.053,99.4985374
277,4.053,99.49672051
278,4.053,99.49490361
279,4.053,99.49308672
280,4.053,99.49126983
281,4.053,99.48945293
282,4.053,99.48763604
283,4.053,99.48581915
